chart_date,chart_type,rank,title,artist,url
2000-02-26,rock,25,Brackish,Kittie,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,26,Make Me Bad,KoRn,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,27,Is Anybody Home?,Our Lady Peace,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,28,Home,Staind,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,29,All The Small Things,Blink 182,https://tunecaster.com/charts/00/rock0009.html
2000-02-26,rock,30,No Leaf Clover,Metallica,https://tunecaster.com/charts/00/rock0009.html
2000-03-04,rock,1,Ex-Girlfriend,No Doubt,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,2,Miserable,Lit,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,3,Letting The Cables Sleep,Bush,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,4,Pardon Me,Incubus,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,5,Stand Inside Your Love,The Smashing Pumpkins,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,6,Kryptonite,3 Doors Down,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,7,Otherside,Red Hot Chili Peppers,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,8,Voodoo,Godsmack,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,9,Never Let You Go,Third Eye Blind,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,10,Stiff Upper Lip,AC/DC,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,11,Run To The Water,Live,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,12,Stacked Actors,Foo Fighters,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,13,The Ground Beneath Her Feet,U2,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,14,Sleep Now In The Fire,Rage Against The Machine,https://tunecaster.com/charts/00/rock0010.html
2000-03-04,rock,15,Only God Knows Why,Kid Rock,https://tunecaster.com/charts/00/rock0010.html
